timestamp,machine_id,machine_type,error_code,severity,downtime_minutes,operator_notes,root_cause,resolution,technician_id,parts_replaced,operator_id
04-05-2026 06:44,TURBINE-03,steam_turbine,E-4471,low,85,"spare part out of stok, ordered via maint req",replaced oil filter and topped up,tightened coupling bolts,TC-012,replaced thermocouple,OP-03
09-08-2026 08:47,TURBINE-01,steam_turbine,E-7733,medium,35,"alignment check done last wk, looks ok for now",reset trip and inspected seals,replaced thermocouple,TC-005,replaced bearing assembly; flushed cooling water lines,OP-05
29-05-2026 04:39,PUMP-04,centrifugal_pump,E-1101,critical,128,"vibraion trending up past 5 mm/s, need inspction",cleaned intercooler fins,tightened coupling bolts,TC-007,replaced oil filter and topped up,OP-02
06-06-2026 13:33,COMPRESSOR-05,centrifugal_compressor,E-4471,critical,386,"spare part out of stok, ordered via maint req",replaced bearing assembly,overhauled valve actuator,TC-001,realigned pump impeller,OP-03
03-06-2026 05:52,PUMP-08,centrifugal_pump,E-4471,critical,204,"alignment check done last wk, looks ok for now",tightened coupling bolts,tightened coupling bolts,TC-012,realigned pump impeller,OP-08
07-07-2026 19:09,TURBINE-03,steam_turbine,E-4471,critical,307,"dischrg press flctuating ±0.3 bar, snr tech aware",replaced bearing assembly,replaced gasket set,TC-001,,OP-07
09-06-2026 11:21,TURBINE-05,steam_turbine,E-9921,medium,228,"vibraion trending up past 5 mm/s, need inspction",reset trip and inspected seals,overhauled valve actuator,TC-015,,OP-08
22-05-2026 18:22,TURBINE-02,steam_turbine,E-2218,high,379,,reset trip and inspected seals,,TC-005,realigned pump impeller; overhauled valve actuator,OP-08
10-07-2026 06:28,COMPRESSOR-01,centrifugal_compressor,E-1155,low,410,cooling water temp 2 deg above nominal,overhauled valve actuator,reset trip and inspected seals,TC-008,cleaned intercooler fins; reset trip and inspected seals,OP-07
05-08-2026 06:05,PUMP-06,centrifugal_pump,E-1155,low,382,,replaced gasket set,,TC-004,reset trip and inspected seals,OP-04
12-08-2026 07:12,PUMP-06,centrifugal_pump,E-8804,high,290,"vibraion trending up past 5 mm/s, need inspction",reset trip and inspected seals,flushed cooling water lines,TC-014,,OP-06
22-05-2026 01:52,TURBINE-08,steam_turbine,E-4471,low,267,"noticed rust on coupling guard, reported to maint",realigned pump impeller,flushed cooling water lines,TC-012,realigned pump impeller; replaced oil filter and topped up,OP-03
13-08-2026 01:43,TURBINE-07,steam_turbine,E-1101,low,398,"alignment check done last wk, looks ok for now",cleaned intercooler fins,replaced bearing assembly,TC-015,overhauled valve actuator,OP-07
01-08-2026 17:17,PUMP-05,centrifugal_pump,E-3340,critical,184,"slight oil leak at seal, will monitor tmrw",replaced oil filter and topped up,cleaned intercooler fins,TC-011,,OP-08
