machine_id,task,interval_days,last_performed,next_due,overdue_days,assigned_to
TURBINE-03,valve overhaul,7,2026-06-15,2026-06-22,71,TC-008
PUMP-06,valve overhaul,60,2026-07-22,2026-09-20,0,TC-011
COMPRESSOR-06,thermocouple calibration,90,2026-07-13,2026-10-11,0,TC-004
PUMP-08,seal inspection,60,2026-06-14,2026-08-13,19,TC-004
PUMP-06,vibration analysis,180,2026-08-04,2027-01-31,0,TC-004
TURBINE-08,thermocouple calibration,30,2026-05-23,2026-06-22,71,TC-004
TURBINE-03,oil change,90,2026-07-23,2026-10-21,0,TC-009
PUMP-01,seal inspection,90,2026-06-15,2026-09-13,0,TC-007
COMPRESSOR-02,valve overhaul,14,2026-08-27,2026-09-10,0,TC-015
TURBINE-05,impeller inspection,60,2026-07-07,2026-09-05,0,TC-007
PUMP-06,valve overhaul,30,2026-06-20,2026-07-20,43,TC-015
PUMP-04,intercooler cleaning,60,2026-07-20,2026-09-18,0,TC-011
TURBINE-02,vibration analysis,30,2026-06-04,2026-07-04,59,TC-009
COMPRESSOR-05,coupling alignment,30,2026-08-05,2026-09-04,0,TC-013
TURBINE-03,coupling alignment,90,2026-05-29,2026-08-27,5,TC-006
COMPRESSOR-05,vibration analysis,180,2026-06-06,2026-12-03,0,TC-014
PUMP-07,oil change,60,2026-06-20,2026-08-19,12,TC-011
TURBINE-01,bearing lubrication,90,2026-08-03,2026-11-01,0,TC-011
TURBINE-02,thermocouple calibration,180,2026-06-28,2026-12-25,0,TC-001
COMPRESSOR-05,vibration analysis,30,2026-06-08,2026-07-08,55,TC-012
PUMP-10,coupling alignment,60,2026-08-17,2026-10-16,0,TC-006
PUMP-01,coupling alignment,7,2026-07-29,2026-08-05,27,TC-001
PUMP-09,oil change,30,2026-08-30,2026-09-29,0,TC-009
PUMP-09,impeller inspection,180,2026-06-17,2026-12-14,0,TC-011
TURBINE-07,coupling alignment,90,2026-07-17,2026-10-15,0,TC-015
PUMP-02,vibration analysis,14,2026-08-14,2026-08-28,4,TC-012
COMPRESSOR-03,vibration analysis,7,2026-08-01,2026-08-08,24,TC-008
TURBINE-06,oil change,7,2026-08-09,2026-08-16,16,TC-006
TURBINE-02,seal inspection,30,2026-08-30,2026-09-29,0,TC-001
PUMP-04,seal inspection,14,2026-08-13,2026-08-27,5,TC-005
COMPRESSOR-04,cooling system flush,30,2026-05-28,2026-06-27,66,TC-005
PUMP-08,thermocouple calibration,60,2026-05-13,2026-07-12,51,TC-011
PUMP-06,coupling alignment,90,2026-07-20,2026-10-18,0,TC-002
PUMP-07,thermocouple calibration,180,2026-06-26,2026-12-23,0,TC-010
PUMP-09,seal inspection,60,2026-08-20,2026-10-19,0,TC-004
TURBINE-04,bearing lubrication,14,2026-07-19,2026-08-02,22,TC-004
TURBINE-04,impeller inspection,90,2026-08-08,2026-11-06,0,TC-011
PUMP-09,seal inspection,30,2026-08-05,2026-09-04,0,TC-010
PUMP-03,bearing lubrication,180,2026-08-07,2027-02-03,0,TC-008
TURBINE-08,valve overhaul,180,2026-06-25,2026-12-22,0,TC-005
PUMP-02,valve overhaul,60,2026-08-12,2026-10-11,0,TC-014
COMPRESSOR-01,seal inspection,14,2026-08-30,2026-09-13,0,TC-006
PUMP-01,bearing lubrication,90,2026-06-01,2026-08-30,2,TC-004
PUMP-10,impeller inspection,14,2026-05-05,2026-05-19,105,TC-013
PUMP-04,impeller inspection,14,2026-07-16,2026-07-30,33,TC-003
TURBINE-07,seal inspection,180,2026-05-08,2026-11-04,0,TC-005
TURBINE-05,bearing lubrication,180,2026-08-10,2027-02-06,0,TC-011
PUMP-10,vibration analysis,14,2026-05-11,2026-05-25,99,TC-005
PUMP-07,cooling system flush,7,2026-07-16,2026-07-23,40,TC-013
COMPRESSOR-01,vibration analysis,30,2026-07-06,2026-08-05,27,TC-003
PUMP-07,valve overhaul,90,2026-06-13,2026-09-11,0,TC-006
COMPRESSOR-04,cooling system flush,90,2026-06-25,2026-09-23,0,TC-014
PUMP-05,thermocouple calibration,60,2026-06-06,2026-08-05,27,TC-012
